WARNING 2024-04-18 17:14:44,452 Forbidden (CSRF token from POST incorrect.): /login/ log 
2024-04-24 21:21:15,568 WARNING Forbidden (CSRF token from POST incorrect.): /admin/auth/user/60/change/ log 
2024-04-24 21:22:19,754 WARNING Forbidden (CSRF token from POST incorrect.): /news/ log 
2024-05-02 15:21:48,529 WARNING Forbidden (CSRF token missing.): /create_article/ log 
2024-05-02 15:22:56,061 WARNING Forbidden (CSRF token missing.): /create_article/ log 
2024-05-02 15:23:46,223 WARNING Forbidden (CSRF token missing.): /create_article/ log 
2024-05-02 15:24:02,844 WARNING Forbidden (CSRF token missing.): /create_article/ log 
2024-05-02 15:24:28,019 WARNING Forbidden (CSRF token missing.): /create_article/ log 
2024-05-02 15:27:13,891 WARNING Forbidden (CSRF token missing.): /create_article/ log 
2024-05-02 15:29:21,860 WARNING Forbidden (CSRF token missing.): /create_article/ log 
2024-05-02 15:37:16,180 WARNING Forbidden (CSRF token missing.): /edit_article/113/ log 
2024-05-02 16:01:41,537 WARNING Forbidden (CSRF token missing.): /delete_article/113/ log 
2024-05-02 18:52:26,501 WARNING Forbidden (CSRF token missing.): /create_article/ log 
2024-05-02 18:53:35,854 WARNING Forbidden (CSRF token missing.): /create_article/ log 
2024-05-02 18:54:38,576 WARNING Forbidden (CSRF token missing.): /create_article/ log 
2024-05-02 18:54:52,570 WARNING Forbidden (CSRF token missing.): /create_article/ log 
2024-05-02 18:59:33,761 WARNING Forbidden (CSRF token missing.): /edit_article/113/ log 
2024-05-02 18:59:45,429 WARNING Forbidden (CSRF token missing.): /edit_article/112/ log 
2024-05-02 19:00:45,978 WARNING Forbidden (CSRF token missing.): /edit_article/113/ log 
2024-05-02 19:01:06,215 WARNING Forbidden (CSRF token missing.): /delete_article/113/ log 
